$combined_keywords$Category_bin
0$";participatory continuing design: ""living with"" videoconferencing in rehabilitation;while much research emphasizes design-before-use, we here study design-in-use. the notion of participatory continuing design is introduced to draw attention to the ongoing work of incorporating information and communication technology into work processes in healthcare institutions. through an empirical case study of how telemedicine, in the form of videoconferencing, was taken up in a rehabilitation hospital in norway, the nature of such ongoing experimentation, learning, and redesign is described. when contrasted with traditional design-before-use practices, participatory continuing design differs in terms of its timing, object, process, outcome, and participants. we offer recommendations for how such processes can be supported in healthcare organizations."$0
1$;grid technology: e-learning in telemedicine and organizational collaboration;the present chapter is about telemedicine, but not about software and hardware. it is about humanware. telemedicine's greatest problem is not to make the technology work. it is organizations and humans in organizations who will decide the future of telemedicine. telemedicine is not just a simple success story and the diffusion of telemedicine has been slower than many expected. for the future of telemedicine, a shift in the way we think may be necessary. few authors have focused on learning in telemedicine (with what is here considered as associated aspects: team organization; learning organizations; network organization). the learning potential connected to telemedicine is significant. learning may constitute an important argument for telemedicine. in the present chapter, focus is on the role learning and collaboration may have for the future of telemedicine. to take the full advantage of the learning potential a higher volume of telemedicine is necessary, but this requires more organizational collaboration. improved collaboration is obtainable by implementing collaboration measures. the chapter shows that focus on learning and collaboration may well be important for the future of telemedicine. it is recommended that managers lead change processes in their organizations, where the different aspects of importance for realization of learning benefits of telemedicine are treated. for telemedicine, it is important that future research includes: investigations on how to obtain learning benefits and which collaboration measures are relevant for the different telemedicine applications. objectives of the present chapter are to propose: 1) more international research on learning in telemedicine (with mentioned associated aspects) and telemedicine collaboration problems and 2) to show the background for this proposal. © 2011, igi global.$1
2$;guidelines for reporting of health interventions using mobile phones: mobile health (mhealth) evidence reporting and assessment (mera) checklist;to improve the completeness of reporting of mobile health (mhealth) interventions, the who mhealth technical evidence review group developed the mhealth evidence reporting and assessment (mera) checklist. the development process for mera consisted of convening an expert group to recommend an appropriate approach, convening a global expert review panel for checklist development, and pilot testing the checklist. the guiding principle for the development of these criteria was to identify a minimum set of information needed to defne what the mhealth intervention is (content), where it is being implemented (context), and how it was implemented (technical features), to support replication of the intervention. this paper presents the resulting 16 item checklist and a detailed explanation and elaboration for each item, with illustrative reporting examples. through widespread adoption, we expect that the use of these guidelines will standardise the quality of mhealth evidence reporting, and indirectly improve the quality of mhealth evidence. © bmj publishing group ltd 2016.$0
3$;the reliability of the xmpp protocol extensions as a file transfer mechanism in dedicated healthcare networks;objective: file transfer is a basic service that needs to be provided by a network dedicated to telemedicine and ehealth use. store and forward solutions have so far been based on protocols such as smtp/pop (simple mail transfer protocol/post office protocol), ftp (file transfer protocol) and http (hypertext transfer protocol). however, these are not well suited to the transfer of large files that are associated with healthcare data. to meet the growth in number of institutions connected to the norwegian health network and the amount of network traffic between health institutions within the network, there is a need for better, more reliable and scalable solutions for file transfer. for example the current requirement to support telemedicine applications is transfer of files within the range of 1 to 200 mb for series of ct (computerised tomography) or mri (magnetic resonance imaging) scans. the objective of this study was to investigate the reliability and the potential of the xmpp (extensible messaging and presence protocol) file transfer extensions as the underlying file transfer mechanism for telemedicine solutions in a dedicated healthcare network. methods: we deployed clients and servers for testing purposes in a real health network setting. we tested the xmpp protocol extensions in three different configurations by transferring files with sizes ranging from 1 to 200 mb. we also tested the ftp and smtp/pop protocols to have a realistic basis for comparison. results: the results of our test shows that in the production environment the xmpp protocol extensions configurations have a possible transfer rate ranging from 0.95 mbps to 0.037 mbps depending on the configuration and protocol extensions used. in comparison the ftp transfer rate was 0.8 mbps and for smpt/pop was 0.017 mbps. the configuration with the lowest transfer rate also has the highest potential for transfer error. a favourable feature of xmpp is that files are not stored on a third party server as with current file transfer protocols for ftp and smtp/pop, but only on local area networks. this is perceived as more secure and reduces the costs associated with security maintenance. conclusion: the current file transfer services for store and forward telemedicine is based on use of the smtp/pop protocols which is not suitable for file attachments of the size used in this study. the other alternative, the ftp protocol, has good transfer efficiency but has other drawbacks such as maintainability and the need for server and client configuration. based on the results of our study we conclude that the reliability and efficiency, and the need for configuration and maintenance of the xmpp protocol extensions, indicates that a file transfer service based on these extensions is feasible. © the journal on information technology in healthcare 2009.$1
4$;lessons learnt from a mooc about social media for digital health literacy;nowadays, the internet and social media represent prime channels for health information seeking and peer support. however, benefits of health social media can be reduced by low digital health literacy. we designed a massive open online course (mooc) course about health social media to increase the students' digital health literacy. in this course, we wanted to explore the difficulties confronted by the mooc users in relation to accessing quality online health information and to propose methods to overcome the issues. an online survey was carried out to assess the students' digital health literacy. this survey was one of the activities for the enrolled learners in an online course entitled 'social media in health care' on 'futurelearn', one of the popular mooc platforms. the course was hosted by taipei medical university, taiwan. data from a total of 300 respondents were collected through the online survey from 14 december 2015 to 10 january 2016. most participants (61%) considered finding online health information is easy or very easy, while 39% were unsure or found it difficult to retrieve online health information. most (63%) were not sure about judging whether available information can be used for making health decisions. this study indicates a demand for more training to increase skills to improve the capability of health consumers to identify trustworthy, useful health information. more research to understand the health information seeking process will be crucial in identifying the skillsets that need to be further developed. moocs about digital health can be a great source of knowledge when it comes to studying patients' needs. © 2016 ieee.$0
5$;living with chronic obstructive pulmonary disease and being followed up through telemedicine - a phenomenological approach;chronic obstructive pulmonary disease (copd) provides substantially reduced health related quality of life (hqol). telemonitoring on copd patients appears to have a positive effect on improving hqol. this study has a phenomenological approach, and ten informants, who were followed-up between 1 and 3 months in their own homes through telemonitoring of copd symptoms, narrated their lived experiences of hqol. the results show that the informants experienced safety and increased knowledge through the digital dialog (telemedicine) with expertise nurses, which indirectly improved their hqol, and in term lead to increased mastery and control in managing their disease. several studies show an increased hqol, but the benefits are still limited and there is a need for further research.$1
6$;can economic evaluation in telemedicine be trusted? a systematic review of the literature;background: telemedicine has been advocated as an effective means to provide health care services over a distance. systematic information on costs and consequences has been called for to support decision-making in this field. this paper provides a review of the quality, validity and generalisability of economic evaluations in telemedicine. methods: a systematic literature search in all relevant databases was conducted and forms the basis for addressing these issues. only articles published in peer-reviewed journals and written in english in the period from 1990 to 2007 were analysed. the literature search identified 33 economic evaluations where both costs (resource use) and outcomes (non-resource consequences) were measured. results: this review shows that economic evaluations in telemedicine are highly diverse in terms of both the study context and the methods applied. the articles covered several medical specialities ranging from cardiology and dermatology to psychiatry. the studies analysed telemedicine in home care, and in primary and secondary care settings using a variety of different technologies including videoconferencing, still-images and monitoring (store-and-forward telemedicine). most studies used multiple outcome measures and analysed the effects using disaggregated cost-consequence frameworks. objectives, study design, and choice of comparators were mostly well reported. the majority of the studies lacked information on perspective and costing method, few used general statistics and sensitivity analysis to assess validity, and even fewer used marginal analysis. conclusion: as this paper demonstrates, the majority of the economic evaluations reviewed were not in accordance with standard evaluation techniques. further research is needed to explore the reasons for this and to address how economic evaluation in telemedicine best can take advantage of local constraints and at the same time produce valid and generalisable results.$1
7$";sufficient competence in community elderly care? results from a competence measurement of nursing staff;background: multi-morbidity, poly-pharmacy and cognitive impairment leave many old patients in a frail condition with a high risk of adverse outcomes if proper health care is not provided. knowledge about available competence is necessary to evaluate whether we are able to offer equitable and balanced health care to older persons with acute and/or complex health care needs. this study investigates the sufficiency of nursing staff competence in norwegian community elderly care. methods: we conducted a cross-sectional survey of 1016 nursing staff in nursing homes and home care services with the instrument ""nursing older people - competence evaluation tool"". statistical analyses were anova and multiple regression. results: we found that nursing staff have competence in all areas measured, but that the level of competence was insufficient in the areas nursing measures, advanced procedures, and nursing documentation. nursing staff in nursing homes scored higher than staff in home care services, and older nursing staff scored lower than younger nursing staff. conclusions: a reason for the relatively low influence of education and training on competence could be the diffuse roles that nursing staff have in community elderly care, implying that they have poor standards against which to judge their own competence. clearer role descriptions for all groups of nursing staff are recommended as well as general competence development in geriatric nursing care. © 2016 bing-jonsson et al."$0
8$;competence complexity and obvious learning experience from developing a language learning game;a computer role-playing game for language learning was created in a european project. the process was challenging with a multidisciplinary team from three countries who did not know each other well before the project started. game designers, linguists, pedagogues and teachers have different approaches to how such an educational tool should function. the requirements for the game were scarce before the project started, so it was up to the team to agree on the game design and contents. we early realised that we had to work much more closely together than what is common in educational projects, so we used virtual meeting rooms extensively in addition to many physical meetings. one important conclusion regarding the process is that small prototypes should have been made very early to enhance the understanding and cooperation between the writers and designers and those responsible for the pedagogical contents. designers and pedagogical personnel should also have had a much closer cooperation in the early phases to better integrate the learning material into the game story. this paper discusses how we worked together to get consensus about the game. we will also touch upon some of the technical difficulties we had trying to satisfy all our requirements with the chosen open source platforms. we also say a few words about the first reactions of the target group. the focus is however on the process of making educational games and what can be learnt from this experience.$0
9$;exploring the role of informants in interpretive case study research in is;interpretive case study research constitutes an important and increasing part of the information systems (is) knowledge base (walsham, 1993; myers, 1997; paré and elam, 1997; walsham, 2006). interpretive case studies can be distinguished from positivist case study research (benbasat et al., 1987; lee, 1989; dubé and paré, 2003) by the focus on close interaction between researcher and participants throughout the case study process, viewing the case members as active participants in the construction of the case narrative (boland, 1985; guba and lincoln, 1989; kvale, 2002). however, while the interpretivist perspective ascribes an active role to the case study informants, in practice the extent of this involvement is normally confined to the data collection process and discussion of early versions of the case narrative. in few cases is the involvement of the informants reported to continue further to the final stages of analytical abstraction of the case study data, where the aim is to develop the overall patterns and explanations. © association for information technology trust 2016.$0
